text,label
"Mari kita lihat sampai akhir, apakah KPU benar2 punya integritas, jujur dan adil. Mari kita kawal dan awasi bersama.",positif
Semoga siapapun Presiden nya. Dia adalah seorang yang JUJUR.,positif
"SEMOGA NAJWA SIHAB DAPAT MEMPERTEMUKAN MEREKA BERTIGA UNTUK DISKUSI TERBUKA, MENJAWAB TANTANGAN PRABOWO UNTUK DISKUSI😅",positif
Smg presiden yg terpilih nantinya bisa memimpin bangsa ini dengan baik 🇮🇩,netral
"Debat berikutnya dilaksanakan di Narasi saja, pake aturanya narasi biar seru, debat di KPU gak seru",netral
"Mereka sama kuatnya, sama hebatnya, sama kompetennya 💫

tinggal tugas kita untuk memilih dengan hati nurani dan akal pikiran siapa yg pantas untuk memimpin INDONESIA dan jangan lupa kalau kita INDONESIA bebas untuk MEMILIH tapi jangan lupa untuk saling MENGHARGAI perbedaan 💌",positif
"Saya tidak butuh pemimpin yang pandai Kata-kata, tapi BUKTI KERJA DAN REKAM JEJAK KINERJA. siapa pun yg terpilih semoga yang terbaik untuk INDONESIA ❤",positif
"Saran buat KPU...
Format debatnya tolong dirubah deh..
Durasi tanya jawab di perpanjang dan biarkan tanya jawab antar kandidat, dan waktunya di tambah 5 sampai 10 menit.
Libatkan penalis.. jangan cuma ambil bola dari pishbool doank...
Mulai lah dari pukul 19 sampai pukul 23 wib biar keliatan visi misi dan gagasan para Paslon presiden wakilnya presiden 2024.
KPU harus berani beda.... 👍👍👍",positif
"Buat masyarakat juga perbaiki kualitas mu, perkuat persaudaraan dan toleransi.semoga yang sebelumnya bisa sebagai pelajaran bagi kita semua..... Perkuat kualitas mu sebagai warga negara. Dan utamakan kebaikan bagi sesama makhluk hidup",positif
"siapapun presidennya saya harap kedepannya bisa membuat indonesia mnjadi negara maju,adil,aman,sejahtera tanpa ada perpecahan aamiin. yg paling penting presiden yang JUJUR!!!",positif
Pak Prabowo ketar ketir bicara tentang etik😅😅😅😅,netral
Yg tersakiti akhirnya pak Prabowo jadi presiden 🤣🤣🤣,netral
"Sebenarnya Visi Misi Prabowo dan Ganjar ini tujuannya sama 
Intinya melanjutkan pembangunan negara serta melanjutkan pembangunan Ibu kota baru. 
Hanya saja naungannya yg berbeda",positif
"Udah dibilang..
Audien dari pendukung capres gk usah di undang acara debat, bikin gaduh...
Masak moderator acara hrs ngingetin bolak balik biar audien tenang..

Undangan audien lbh baik yg netral, bukan kyk adu supporter gini..",positif
"Bapak capres, tolong jangan cuma bermanis mulut, yang penting nanti buktikan dengan kerja nyata dan amanah",positif
"Untuk kita para pendukung yg tidak sepehaman jangan terlalu panatik,gunakan suaramu untuk memilih dan jangan mau di adu domba,mari kita sama2 jaga keharmonisan dan kesatuan negara kita tercinta",positif
"InsyaaAllah saya suka gaya santun aba, always think twice before answer",positif
Khawatir sama pa anies..berani banget dia...klo ga jd presiden kira2 aman ga yah...sehat2 terus abah...semoga terkabul apa yg dicita-citakan...,positif
Anies berani banget. Saya yg takut.,netral
Semoga presiden terpilih bisa membawa Indonesia menjadi lebih baik.🇮🇩🇮🇩🇮🇩,positif
"kayanya gak ada jaminan KPU BAWASLU, di forum emang bilang netral di lapangan .....",positif
Orang mau kalah bawaanya curigaaa mulu 😅,negatif
"Sandiwara Politik Dua Kaki

Perlu kita ketahui sesungguhnya Paslon 2&3 itu BERSEKUTU (Megawati & Jokowi), dipanggung politik mereka pura2 ""BERSETERU"". Bagi yang ingin perubahan pilihlah No.1 (Anies Baswedan+Muhaimin Iskandar)",netral
terbukti Wowo lebih mementingkan diri sendiri dari pada kesejahteraan rakyat.,positif
