text,label,clean_text
"Mari kita lihat sampai akhir, apakah KPU benar2 punya integritas, jujur dan adil. Mari kita kawal dan awasi bersama.",positif,mari lihat kpu integritas jujur adil mari kawal awasi
Semoga siapapun Presiden nya. Dia adalah seorang yang JUJUR.,positif,semoga presiden nya jujur
"SEMOGA NAJWA SIHAB DAPAT MEMPERTEMUKAN MEREKA BERTIGA UNTUK DISKUSI TERBUKA, MENJAWAB TANTANGAN PRABOWO UNTUK DISKUSI😅",positif,semoga najwa sihab mempertemukan bertiga diskusi terbuka tantangan prabowo diskusi
Smg presiden yg terpilih nantinya bisa memimpin bangsa ini dengan baik 🇮🇩,positif,smg presiden yg terpilih memimpin bangsa
"Debat berikutnya dilaksanakan di Narasi saja, pake aturanya narasi biar seru, debat di KPU gak seru",positif,debat dilaksanakan narasi pake aturanya narasi biar seru debat kpu gak seru
"Mereka sama kuatnya, sama hebatnya, sama kompetennya 💫

tinggal tugas kita untuk memilih dengan hati nurani dan akal pikiran siapa yg pantas untuk memimpin INDONESIA dan jangan lupa kalau kita INDONESIA bebas untuk MEMILIH tapi jangan lupa untuk saling MENGHARGAI perbedaan 💌",positif,kuatnya hebatnya kompetennya tinggal tugas memilih hati nurani akal pikiran yg memimpin indonesia lupa indonesia bebas memilih lupa menghargai perbedaan
"Saya tidak butuh pemimpin yang pandai Kata-kata, tapi BUKTI KERJA DAN REKAM JEJAK KINERJA. siapa pun yg terpilih semoga yang terbaik untuk INDONESIA ❤",positif,butuh pemimpin pandai katakata bukti kerja rekam jejak kinerja yg terpilih semoga terbaik indonesia
"Saran buat KPU...
Format debatnya tolong dirubah deh..
Durasi tanya jawab di perpanjang dan biarkan tanya jawab antar kandidat, dan waktunya di tambah 5 sampai 10 menit.
Libatkan penalis.. jangan cuma ambil bola dari pishbool doank...
Mulai lah dari pukul 19 sampai pukul 23 wib biar keliatan visi misi dan gagasan para Paslon presiden wakilnya presiden 2024.
KPU harus berani beda.... 👍👍👍",positif,saran kpu format debatnya tolong dirubah deh durasi perpanjang biarkan kandidat menit libatkan penalis ambil bola pishbool doank wib biar keliatan visi misi gagasan paslon presiden wakilnya presiden kpu berani beda
"Buat masyarakat juga perbaiki kualitas mu, perkuat persaudaraan dan toleransi.semoga yang sebelumnya bisa sebagai pelajaran bagi kita semua..... Perkuat kualitas mu sebagai warga negara. Dan utamakan kebaikan bagi sesama makhluk hidup",positif,masyarakat perbaiki kualitas mu perkuat persaudaraan toleransisemoga pelajaran perkuat kualitas mu warga negara utamakan kebaikan makhluk hidup
"siapapun presidennya saya harap kedepannya bisa membuat indonesia mnjadi negara maju,adil,aman,sejahtera tanpa ada perpecahan aamiin. yg paling penting presiden yang JUJUR!!!",positif,presidennya harap kedepannya indonesia mnjadi negara majuadilamansejahtera perpecahan aamiin yg presiden jujur
Pak Prabowo ketar ketir bicara tentang etik😅😅😅😅,positif,prabowo ketar ketir bicara etik
Yg tersakiti akhirnya pak Prabowo jadi presiden 🤣🤣🤣,positif,yg tersakiti prabowo presiden
"Sebenarnya Visi Misi Prabowo dan Ganjar ini tujuannya sama 
Intinya melanjutkan pembangunan negara serta melanjutkan pembangunan Ibu kota baru. 
Hanya saja naungannya yg berbeda",positif,visi misi prabowo ganjar tujuannya intinya melanjutkan pembangunan negara melanjutkan pembangunan kota naungannya yg berbeda
"Udah dibilang..
Audien dari pendukung capres gk usah di undang acara debat, bikin gaduh...
Masak moderator acara hrs ngingetin bolak balik biar audien tenang..

Undangan audien lbh baik yg netral, bukan kyk adu supporter gini..",negatif,udah dibilang audien pendukung capres gk undang acara debat bikin gaduh masak moderator acara hr ngingetin bolak biar audien tenang undangan audien lbh yg netral kyk adu supporter gini
"Bapak capres, tolong jangan cuma bermanis mulut, yang penting nanti buktikan dengan kerja nyata dan amanah",positif,capres tolong bermanis mulut buktikan kerja nyata amanah
"Untuk kita para pendukung yg tidak sepehaman jangan terlalu panatik,gunakan suaramu untuk memilih dan jangan mau di adu domba,mari kita sama2 jaga keharmonisan dan kesatuan negara kita tercinta",positif,pendukung yg sepehaman panatikgunakan suaramu memilih adu dombamari jaga keharmonisan kesatuan negara tercinta
"InsyaaAllah saya suka gaya santun aba, always think twice before answer",positif,insyaaallah suka gaya santun aba always think twice answer
Khawatir sama pa anies..berani banget dia...klo ga jd presiden kira2 aman ga yah...sehat2 terus abah...semoga terkabul apa yg dicita-citakan...,positif,khawatir pa aniesberani banget diaklo ga jd presiden aman ga yahsehat abahsemoga terkabul yg dicitacitakan
Anies berani banget. Saya yg takut.,positif,anies berani banget yg takut
Semoga presiden terpilih bisa membawa Indonesia menjadi lebih baik.🇮🇩🇮🇩🇮🇩,positif,semoga presiden terpilih membawa indonesia
Orang mau kalah bawaanya curigaaa mulu 😅,positif,orang kalah bawaanya curigaaa mulu
"Sandiwara Politik Dua Kaki

Perlu kita ketahui sesungguhnya Paslon 2&3 itu BERSEKUTU (Megawati & Jokowi), dipanggung politik mereka pura2 ""BERSETERU"". Bagi yang ingin perubahan pilihlah No.1 (Anies Baswedan+Muhaimin Iskandar)",positif,sandiwara politik kaki ketahui sesungguhnya paslon bersekutu megawati jokowi dipanggung politik pura berseteru perubahan pilihlah anies baswedanmuhaimin iskandar
terbukti Wowo lebih mementingkan diri sendiri dari pada kesejahteraan rakyat.,negatif,terbukti wowo mementingkan kesejahteraan rakyat
@amirhachim lah mana buktinya kalau lebih mementingkan diri sendiri??,negatif,buktinya mementingkan
